MARQUES;MODELE;TYP. MINES;CNIT;CARB;CV;PUISS.;BV;Urbain;Ex.Urb;Mixte;CO2;;;;;
MERCEDES-BENZ;A 160 CDI;MMB51C2PN785;168M20FF2HDAABA0;GO;4;55.0;M 5;6.0;4.1;4.8;127;;;;;
OPEL;CORSA 3P 1.7DI 16V;MPL5061FC436;CORSA-CAE111A09ADJCAC5;GO;4;48.0;M 5;5.8;4.1;4.7;127;;;;;
OPEL;CORSA 3P 1.7DI 16V CLIM;MPL5061FF439;CORSA-CBE113A09A9LCAC5;GO;4;48.0;M 5;5.8;4.1;4.7;127;;;;;
OPEL;CORSA 3P 1.7DTI 16V CLIM;MPL5161FR599;CORSA-CBD111A05AAHCAC5;GO;4;55.0;M 5;5.8;4.1;4.7;127;;;;;
OPEL;CORSA 5P 1.7DI 16V;MPL5062FT451;CORSA-CCE111A10ADJCAC5;GO;4;48.0;M 5;5.8;4.1;4.7;127;;;;;
OPEL;CORSA 5P 1.7DI 16V CLIM;MPL5062F5463;CORSA-CDE111A10AFKCAC5;GO;4;48.0;M 5;5.8;4.1;4.7;127;;;;;
OPEL;CORSA 5P 1.7DTI 16V CLIM;MPL5162FX603;CORSA-CDD111A11AGHCAC5;GO;4;55.0;M 5;5.8;4.1;4.7;127;;;;;
FIAT;PUNTO 3P JTD;MFT5101H6957;188AXE1A10C;GO;5;59.0;M 5;6.6;4.0;4.9;130;;;;;
FIAT;PUNTO 3P JTD;MFT5111H7048;188AXE1A10D;GO;5;59.0;M 5;6.6;4.0;4.9;130;;;;;
FIAT;PUNTO 5P JTD;MFT5102H9958;188BXE1A11C;GO;5;59.0;M 5;6.6;4.0;4.9;130;;;;;
FIAT;PUNTO 5P JTD;MFT5112HA049;188BXE1A11D;GO;5;59.0;M 5;6.6;4.0;4.9;130;;;;;
OPEL;ASTRA 3P 1.7DTI 16V CLIM;MPL5161HC230;T98BJ112A33A550GCN5;GO;5;55.0;M 5;6.1;4.0;4.8;130;;;;;
OPEL;ASTRA 5P 1.7DTI 16V CLIM;MPL5162HQ278;T98DJ112A34A850GCN5;GO;5;55.0;M 5;6.1;4.0;4.8;130;;;;;
VOLKSWAGEN;POLO SDI;MVW50A2C0229;6NSCASXX01SGFM5850341N113K;GO;4;47.0;M 5;6.3;3.9;4.8;130;;;;;
VOLKSWAGEN;POLO SDI;MVW50A2C1230;6NSCASXX01SGFM5850341N113L;GO;4;47.0;M 5;6.4;3.9;4.8;130;;;;;
AUDI;A33P 1.9TDI (90ch);MAU5281G9880;8LLALHF1FM52J017R8L60T2L;GO;5;66.0;M 5;6.5;4.1;4.9;132;;;;;
OPEL;ASTRA BREAK 1.7DTI 16V CLIM;MPL5164HP175;T98/KOMBIFJ112A22BS33GCJ5;GO;5;55.0;M 5;6.2;4.1;4.9;132;;;;;
SEAT;CORDOBA 2P TDI (110ch);MSE5411BE092;6KSTASVX01SGFM52J0212L;GO;6;81.0;M 5;6.4;4.0;4.9;132;;;;;
SEAT;CORDOBA TDI (110ch);MSE5412BH093;6KSTASVX01SGFM52J0214L;GO;6;81.0;M 5;6.4;4.0;4.9;132;;;;;
SEAT;IBIZA 3P TDI (110ch);MSE5411GT745;6KSCASVX01SGFM52J0212L;GO;6;81.0;M 5;6.4;4.0;4.9;132;;;;;
SEAT;IBIZA 5P TDI (110ch);MSE5412GW746;6KSCASVX01SGFM52J0214L;GO;6;81.0;M 5;6.4;4.0;4.9;132;;;;;
SKODA;FABIA 1.9SDI (64ch);MSK5012E1133;6YSCASYX01FM5FM52T006MALLE;GO;4;47.0;M 5;6.3;4.1;4.9;132;;;;;
SKODA;FABIA 1.9TDI (100ch);MSK5312EW134;6YSCATDX01FM5FM52R011LALLE;GO;6;74.0;M 5;6.4;4.0;4.9;132;;;;;
SKODA;FABIA COMBI 1.9SDI (64ch);MSK5014EJ147;6YSEASYX01FM5FM52T006MALLE;GO;4;47.0;M 5;6.3;4.1;4.9;132;;;;;
SKODA;FABIA SEDAN 1.9SDI (64ch) Classic;MSK5012ER159;6YSTASYX01FM5FM52T006MALLE;GO;4;47.0;M 5;6.3;4.1;4.9;132;;;;;
VOLKSWAGEN;GOLF PACK TDI (110ch);MVW54C1KV866;1JSCASVX01SGFM52J024L21N10GE;GO;6;81.0;M 5;6.5;4.0;4.9;132;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C1K9749;1JSCALHX01SGFM52J025L21N10GE;GO;5;66.0;M 5;6.5;4.1;4.9;132;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C1K8748;1JSCALHX01SGFM52J025L21NN0GE;GO;5;66.0;M 5;6.5;4.1;4.9;132;;;;;
NISSAN;MICRA 3P 1.5D;MJN5011DS239;K11EE05;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
NISSAN;MICRA 3P 1.5D;MJN5011DU241;K11EE07;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
NISSAN;MICRA 3P 1.5L;MJN5011DQ237;K11EE01;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
NISSAN;MICRA 5P 1.5D;MJN5012DY243;K11FF01;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
NISSAN;MICRA 5P 1.5D;MJN5012D0245;K11FF05;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
NISSAN;MICRA 5P 1.5D;MJN5012D2247;K11FF07;GO;4;42.0;M 5;6.4;4.2;5.0;133;;;;;
FORD;FOCUS 4P 1.8TDdi;MFD5172S1973;DFWBHDA15HDBMS;GO;5;55.0;M 5;6.8;4.1;5.1;134;;;;;
FORD;FOCUS BREAK 1.8TDdi;MFD5174SK018;DNWBHDA15HDBMU;GO;5;55.0;M 5;6.8;4.1;5.1;134;;;;;
FORD;FOCUS BREAK 1.8TDdi;MFD5174SL019;DNWBHDA15HDBMV;GO;5;55.0;M 5;6.8;4.1;5.1;134;;;;;
AUDI;A33P 1.9TDI (101ch);MAU5381G3936;8LLATDF1FM52J060R8L60T2L;GO;6;74.0;M 5;6.5;4.2;5.0;135;;;;;
AUDI;A33P 1.9TDI (110ch);MAU5481GP681;8LLASVF1FM52J016R8L60T2M;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
AUDI;A33P 1.9TDI (90ch);MAU5281GA881;8LLALHF1FM52J017R8L60T2M;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
AUDI;A35P 1.9TDI (110ch);MAU5482GT684;8LLASVF1FM52J016R8L60T4M;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
AUDI;A35P 1.9TDI (90ch);MAU5282GF884;8LLALHF1FM52J017R8L60T4M;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
FORD;FOCUS 5P 1.8TDdi;MFD5172SY000;DAWBHDA15HDBMR;GO;5;55.0;M 5;6.8;4.1;5.1;135;;;;;
FORD;FOCUS COUPE 1.8TDdi;MFD5161SY851;DBWBHDA15HDBMN;GO;5;55.0;M 5;6.8;4.1;5.1;135;;;;;
SEAT;CORDOBA 2P TDI (90ch);MSE5211BA812;6KSTAGRX01SGFM52J0282L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;CORDOBA 2P TDI (90ch);MSE5211B8070;6KSTALHX01SGFM52J0282L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;CORDOBA TDI (110ch);MSE5412BJ095;6KSTASVX01SGFM52J0214M;GO;6;81.0;M 5;6.5;4.1;5.0;135;;;;;
SEAT;CORDOBA TDI (90ch);MSE5212BD813;6KSTAGRX01SGFM52J0284L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;CORDOBA TDI (90ch);MSE5212BB071;6KSTALHX01SGFM52J0284L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;IBIZA 3P 1.9SDI;MSE5011GJ024;6KSCAQMX01SGFM52K0432K;GO;4;50.0;M 5;6.7;4.0;5.0;135;;;;;
SEAT;IBIZA 3P TDI (90ch);MSE5211GB808;6KSCAGRX01SGFM52J0282L;GO;5;66.0;M 5;6.5;4.2;5.0;135;;;;;
SEAT;IBIZA 3P TDI (90ch);MSE5211GK005;6KSCALHX01SGFM52J0282L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;IBIZA 5P TDI (90ch);MSE5212GE809;6KSCAGRX01SGFM52J0284L;GO;5;66.0;M 5;6.5;4.2;5.0;135;;;;;
SEAT;IBIZA 5P TDI (90ch);MSE5212GN006;6KSCALHX01SGFM52J0284L;GO;5;66.0;M 5;6.4;4.1;5.0;135;;;;;
SEAT;LEON 1900 TDI (90ch);MSE5212KL654;1MABALHX01SGFM52J0251M1N1;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
SEAT;LEON TDI (110ch);MSE5412KU704;1MABASVX01SGFM52J0241M1N1;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SEAT;LEON TDI (110ch);MSE5412KY999;1MABASVX01SGFM52J0661M1N1;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SEAT;TOLEDO TDI (110ch);MSE5412JP602;1MAAASVX01SGFM52J0241M1N1;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SEAT;TOLEDO TDI (110ch);MSE5412JQ967;1MAAASVX01SGFM52J0661M1N1;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SEAT;TOLEDO TDI (90ch);MSE5212JX570;1MAAALHX01SGFM52J0251M1N1;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
SKODA;FABIA COMBI 1.9TDI (100ch);MSK5314EF149;6YSEATDX01FM5FM52R011MALLE;GO;6;74.0;M 5;6.5;4.1;5.0;135;;;;;
SKODA;FABIA SEDAN 1.9TDI (100ch) Elegance;MSK5312EN161;6YSTATDX01FM5FM52R011MALLE;GO;6;74.0;M 5;6.5;4.1;5.0;135;;;;;
SKODA;OCTAVIA 1.9TDI (110ch);MSK5412CQ059;1USTASVX01FM5FM52J024M;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SKODA;OCTAVIA 1.9TDI (90ch);MSK5212CW049;1USTALHX01FM5FM52J025M;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
SKODA;OCTAVIA COMBI 1.9TDI (110ch);MSK5414CM015;1USEASVX01FM5FM52J024M;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
SKODA;OCTAVIA COMBI 1.9TDI (90ch);MSK5214CU007;1USEALHX01FM5FM52J025M;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;BORA PACK TDI (110ch);MVW54D2SL324;1JSTASVX01SGFM52J024M41N10GE;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
VOLKSWAGEN;GOLF BREAK TDI (110ch);MVW54D4K1150;1JSEASVX01SGFM52J024M41N10GE;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
VOLKSWAGEN;GOLF BREAK TDI (90ch);MVW52D4KK099;1JSEALHX01SGFM52J025M41N10GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;GOLF BREAK TDI (90ch);MVW52D4KJ098;1JSEALHX01SGFM52J025M41NN0GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;GOLF PACK TDI (110ch);MVW54C1KX868;1JSCASVX01SGFM52J024M21N10GE;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
